Base Classes,Strength,Endurance,Agility,Intellect,Wisdom,Charisma,,,Archtype,,,,,,,,,,,
Barbarian,5,4,2,2,1,1,15,,Melee Dps,Fighter,Physical,,,,,,,,,
Paladin,3,5,1,2,3,1,15,,Melee Dps,Tank,Both,,,,,,,,,
Ranger,2,1,5,3,1,3,15,,Range Dps,Ranger,Physical,,,,,,,,,
Mage,1,2,2,5,3,2,15,,Range Dps ,Mage,Magical,,,,,,,,,
Bard,2,1,2,3,2,5,15,,Buff,Bard,Both,,,,,,,,,
Knight,5,4,1,2,1,2,15,,Melee Dps,Tank,Physical,,,,,,,,,
Rogue,1,2,4,2,2,4,15,,Melee Dps/DoT,Fighter,Both,,,,,,,,,
Monk,3,3,4,2,2,1,15,,Melee Dps,Fighter,Physical,,,,,,,,,
Priest,2,3,1,3,4,2,15,,Healer,Priest,Magical,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Champion Classes,Strength,Endurance,Agility,Intellect,Wisdom,Charisma,,,Archtype,,,,,,,,,,,
Sentinel,6,5,1,3,3,2,20,,Melee Dps,Tank,Physical,,,,,,,,,
Night Hunter,2,1,7,5,2,3,20,,Range Dps,Ranger,Both,,,,,,,,,
Assassin,3,2,7,3,1,4,20,,Melee Dps/DoT,Fighter,Physical,,,,,,,,,
Cleric,2,5,1,4,6,2,20,,Healer,Priest,Magical,,,,,,,,,
Songster/tress,2,2,4,3,2,7,20,,Buff,Bard,Both,,,,,,,,,
Druid,3,3,4,5,3,2,20,,Range Dps/Healer,Mage/Cleric,Magical,,,,,,,,,
Trickster,2,1,5,4,2,6,20,,Debuff/Melee,Bard/Fighter,Both,,,,,,,,,
Dragoon,6,4,6,1,1,2,20,,Melee Dps,Fighter,Physical,,,,,,,,,
Warlock,1,3,1,7,5,3,20,,Range Dps/Debuff,Mage,Magical,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Hero Classes,Strength,Endurance,Agility,Intellect,Wisdom,Charisma,,,Archtype,,,,,,,,,,,
Ashen Fist,6,3,8,5,2,1,25,,Melee Dps,Fighter,Physical,,,,,,,,,
Aegis of Time,1,4,2,9,3,6,25,,Range Dps,Mage,Magical,,,,,,,,,
Sword Weaver,8,4,7,4,1,1,25,,Melee Dps/DoT,Fighter,Physical,,,,,,,,,
Soul Mender,3,5,1,5,8,3,25,,Healer/Buff,Priest,Magical,,,,,,,,,
Tactician,2,1,3,8,3,8,25,,Range Dps,Mage/Bard,Magical,,,,,,,,,
Heartseeker,3,2,6,2,4,8,25,,Party Buff/Melee,Bard/Fighter,Both,,,,,,,,,
Stone Guard,4,7,1,6,5,2,25,,Melee Dps,Tank,Physical,,,,,,,,,
Death Speaker,2,2,3,7,2,9,25,,Range Dps/Debuff,Bard,Both,,,,,,,,,
Gunslinger,3,2,8,4,2,6,25,,Range Dps,Ranger,Physical,,,,,,,,,
Rune Knight,7,4,2,6,3,3,25,,Melee Dps,Fighter,Both,,,,,,,,,
